,Squad,Comp,Player,Pos,Age,Min_Playing,Gls,Ast,G+A,xG_Expected,npxG_Expected,xAG_Expected,TklW_Tackles,Sh_Blocks,Int,Clr,Recov,xG_Expected_norm,xAG_Expected_norm,G+A_norm,TklW_Tackles_norm,Sh_Blocks_norm,Int_norm,Clr_norm,Recov_norm,Min_Playing_norm,Score,Rank
1514,Liverpool,Premier League,Curtis Jones,"MF,DF",23.0,1712.0,3,3,6,4.3,4.3,1.1,22,9,7,10,97,0.17063492063492064,0.07746478873239437,0.1276595744680851,0.275,0.15789473684210525,0.10606060606060606,0.040160642570281124,0.42358078602620086,0.5004387247733255,0.167372123644198,164.0
444,Brentford,Premier League,Vitaly Janelt,MF,26.0,2254.0,1,3,4,0.8,0.8,2.2,22,9,27,53,107,0.03174603174603175,0.15492957746478875,0.0851063829787234,0.275,0.15789473684210525,0.4090909090909091,0.21285140562248997,0.4672489082969432,0.6589646095349517,0.16658353008188193,165.0
1954,Nott'ham Forest,Premier League,Nicolás Domínguez,"MF,FW",26.0,1963.0,0,1,1,1.5,1.5,1.3,45,12,29,54,114,0.05952380952380953,0.09154929577464789,0.02127659574468085,0.5625,0.21052631578947367,0.4393939393939394,0.21686746987951808,0.4978165938864629,0.5738520035097981,0.16547013728396823,166.0
1655,Manchester Utd,Premier League,Matthijs de Ligt,DF,24.0,2123.0,2,0,2,2.5,2.5,0.3,22,21,33,96,68,0.09920634920634921,0.02112676056338028,0.0425531914893617,0.275,0.3684210526315789,0.5,0.3855421686746988,0.29694323144104806,0.6206493126645218,0.16482568344304555,167.0
1643,Manchester Utd,Premier League,Casemiro,MF,32.0,1494.0,1,0,1,1.9,1.9,2.3,50,10,14,51,103,0.07539682539682539,0.1619718309859155,0.02127659574468085,0.625,0.17543859649122806,0.21212121212121213,0.20481927710843373,0.4497816593886463,0.43667739105001463,0.16446063977314362,168.0
2832,Wolves,Premier League,Matt Doherty,DF,32.0,2109.0,2,1,3,1.0,1.0,1.5,21,15,22,102,106,0.03968253968253968,0.10563380281690142,0.06382978723404255,0.2625,0.2631578947368421,0.3333333333333333,0.40963855421686746,0.462882096069869,0.6165545481134834,0.16320080123847047,169.0
611,Chelsea,Premier League,Jadon Sancho,FW,24.0,1764.0,3,4,7,2.2,2.2,3.7,7,0,2,8,99,0.08730158730158731,0.2605633802816902,0.14893617021276595,0.0875,0.0,0.030303030303030304,0.0321285140562249,0.43231441048034935,0.5156478502486107,0.1629850765437782,170.0
1971,Nott'ham Forest,Premier League,Ryan Yates,MF,26.0,1915.0,2,1,3,2.3,2.3,1.2,21,10,26,61,104,0.09126984126984126,0.08450704225352113,0.06382978723404255,0.2625,0.17543859649122806,0.3939393939393939,0.24497991967871485,0.45414847161572053,0.5598128107633811,0.16158927790288705,171.0
2785,West Ham,Premier League,Emerson Palmieri,DF,29.0,2113.0,2,1,3,2.0,2.0,1.5,31,8,21,59,84,0.07936507936507936,0.10563380281690142,0.06382978723404255,0.3875,0.14035087719298245,0.3181818181818182,0.23694779116465864,0.36681222707423583,0.6177244808423515,0.16107810154251492,172.0
1519,Liverpool,Premier League,Darwin Núñez,FW,25.0,1133.0,5,2,7,5.8,5.8,1.3,18,0,4,12,41,0.23015873015873015,0.09154929577464789,0.14893617021276595,0.225,0.0,0.06060606060606061,0.04819277108433735,0.17903930131004367,0.3310909622696695,0.15934116700860737,173.0
2783,West Ham,Premier League,Konstantinos Mavropanos,DF,26.0,2045.0,0,0,0,1.5,1.5,0.5,24,18,40,126,77,0.05952380952380953,0.035211267605633804,0.0,0.3,0.3157894736842105,0.6060606060606061,0.5060240963855421,0.33624454148471616,0.597835624451594,0.15799711348160306,174.0
506,Brighton,Premier League,Jack Hinshelwood,"MF,DF",19.0,1842.0,5,2,7,2.7,2.7,1.5,19,3,16,37,63,0.10714285714285715,0.10563380281690142,0.14893617021276595,0.2375,0.05263157894736842,0.24242424242424243,0.14859437751004015,0.27510917030567683,0.5384615384615384,0.15779289713123396,175.0
96,Aston Villa,Premier League,Ezri Konsa,DF,26.0,2935.9999999999995,2,0,2,1.3,1.3,0.4,18,11,24,114,97,0.05158730158730159,0.028169014084507046,0.0425531914893617,0.225,0.19298245614035087,0.36363636363636365,0.4578313253012048,0.42358078602620086,0.8584381398069609,0.15569408513651828,176.0
2516,Tottenham,Premier League,Djed Spence,DF,23.0,1792.0,1,2,3,0.6,0.6,1.8,34,9,21,74,109,0.023809523809523808,0.1267605633802817,0.06382978723404255,0.425,0.15789473684210525,0.3181818181818182,0.2971887550200803,0.4759825327510917,0.5238373793506873,0.15516518837301113,177.0
820,Everton,Premier League,Ashley Young,DF,39.0,1875.0,1,3,4,0.3,0.3,2.3,33,4,25,64,75,0.011904761904761904,0.1619718309859155,0.0851063829787234,0.4125,0.07017543859649122,0.3787878787878788,0.2570281124497992,0.32751091703056767,0.5481134834747002,0.15269286288132822,178.0
800,Everton,Premier League,Dominic Calvert-Lewin,FW,27.0,1609.0,3,1,4,6.7,6.7,0.6,7,2,7,23,35,0.26587301587301587,0.04225352112676056,0.0851063829787234,0.0875,0.03508771929824561,0.10606060606060606,0.09236947791164658,0.15283842794759825,0.4703129570049722,0.15244234499415502,179.0
902,Fulham,Premier League,Kenny Tete,DF,28.0,1774.0,0,2,2,1.4,1.4,0.9,38,12,32,67,74,0.05555555555555555,0.06338028169014084,0.0425531914893617,0.475,0.21052631578947367,0.48484848484848486,0.26907630522088355,0.3231441048034934,0.5185726820707809,0.15191175593922301,180.0
456,Brentford,Premier League,Ethan Pinnock,DF,31.0,1913.0,2,0,2,1.1,1.1,1.2,19,18,24,142,50,0.043650793650793655,0.08450704225352113,0.0425531914893617,0.2375,0.3157894736842105,0.36363636363636365,0.570281124497992,0.2183406113537118,0.559227844398947,0.1517460557223759,181.0
78,Arsenal,Premier League,Jurriën Timber,DF,23.0,2417.0,1,3,4,1.2,1.2,0.8,38,4,22,44,94,0.047619047619047616,0.05633802816901409,0.0851063829787234,0.475,0.07017543859649122,0.3333333333333333,0.17670682730923695,0.4104803493449782,0.7066393682363264,0.1511913623562801,182.0
1189,Ipswich Town,Premier League,Jacob Greaves,DF,23.0,2205.0,1,0,1,1.3,1.3,0.3,21,26,21,148,61,0.05158730158730159,0.02112676056338028,0.02127659574468085,0.2625,0.45614035087719296,0.3181818181818182,0.5943775100401606,0.2663755458515284,0.6446329336063177,0.1510672696656536,183.0
1668,Manchester Utd,Premier League,Manuel Ugarte Ribeiro,MF,23.0,1785.0,1,2,3,1.0,1.0,1.1,49,4,27,17,122,0.03968253968253968,0.07746478873239437,0.06382978723404255,0.6125,0.07017543859649122,0.4090909090909091,0.06827309236947791,0.5327510917030568,0.5217899970751682,0.15089270353980444,184.0
599,Chelsea,Premier League,Malo Gusto,DF,21.0,1862.0,0,1,1,1.7,1.7,1.4,29,8,24,49,119,0.06746031746031746,0.09859154929577464,0.02127659574468085,0.3625,0.14035087719298245,0.36363636363636365,0.19678714859437751,0.519650655021834,0.5443112021058789,0.15057353657375816,185.0
1405,Leicester City,Premier League,Stephy Mavididi,FW,26.0,1615.0,4,1,5,1.8,1.8,2.6,19,2,11,15,83,0.07142857142857144,0.18309859154929578,0.10638297872340426,0.2375,0.03508771929824561,0.16666666666666666,0.060240963855421686,0.3624454148471616,0.47206785609827434,0.14602531652139994,186.0
894,Fulham,Premier League,Rodrigo Muniz,FW,23.0,964.0,8,1,9,5.8,5.8,0.7,5,2,5,14,14,0.23015873015873015,0.04929577464788732,0.19148936170212766,0.0625,0.03508771929824561,0.07575757575757576,0.05622489959839357,0.0611353711790393,0.2816613044749927,0.1458229898330344,187.0
